Position(mm),Force(kgf),Velocity(mm/s),Time(s)
17.138,0,99.478,0.11
17.138,0,0,0
17.238,0,99.567,0.11
17.238,0,99.567,0.11
17.339,0,99.65,0.112
17.339,0,99.65,0.112
17.439,0,99.728,0.113
17.439,0,99.728,0.113
17.54,0,99.794,0.115
17.54,0,99.794,0.115
17.64,0,99.861,0.117
17.64,0,99.861,0.117
17.741,0,99.917,0.118
17.741,0,99.917,0.118
17.841,0,99.967,0.12
17.841,0,99.967,0.12
17.942,0,100.011,0.12
17.942,0,100.011,0.12
18.042,0,100.061,0.121
18.042,0,100.061,0.121
18.143,0,100.106,0.122
18.143,0,100.106,0.122
18.243,0,100.144,0.123
18.243,0,100.144,0.123
18.344,0,100.183,0.124
18.344,0,100.183,0.124
18.444,0,100.217,0.125
18.444,0,100.217,0.125
18.444,0,100.217,0.126
18.444,0,100.217,0.126
18.545,0,100.244,0.127
18.545,0,100.244,0.127
18.645,0,100.272,0.128
18.645,0,100.272,0.128
18.746,0,100.3,0.129
18.746,0,100.3,0.129
18.847,0,100.322,0.13
18.847,0,100.322,0.13
18.947,0,100.344,0.13
18.947,0,100.344,0.13
19.048,0,100.361,0.131
19.048,0,100.361,0.131
19.148,0,100.383,0.132
19.148,0,100.383,0.132
19.249,0,100.394,0.133
19.249,0,100.394,0.133
19.349,0,100.406,0.134
19.349,0,100.406,0.134
19.45,0,100.411,0.136
19.45,0,100.411,0.136
19.55,0,100.422,0.137
19.55,0,100.422,0.137
19.651,0,100.428,0.138
19.651,0,100.428,0.138
19.751,0,100.433,0.139
19.751,0,100.433,0.139
19.852,0,100.439,0.14
19.852,0,100.439,0.14
19.952,0,100.444,0.14
19.952,0,100.444,0.14
20.053,0,100.444,0.141
20.053,0,100.444,0.141
20.153,0,100.444,0.142
20.153,0,100.444,0.142
20.153,0,100.444,0.143
20.153,0,100.444,0.143
20.254,0,100.444,0.144
20.254,0,100.444,0.144
20.354,0,100.444,0.145
20.354,0,100.444,0.145
20.454,0,100.444,0.146
20.454,0,100.444,0.146
20.555,0,100.444,0.147
20.555,0,100.444,0.147
20.655,0,100.444,0.148
20.655,0,100.444,0.148
20.756,0,100.45,0.149
20.756,0,100.45,0.149
20.856,0,100.444,0.15
20.856,0,100.444,0.15
20.957,0,100.444,0.15
20.957,0,100.444,0.15
21.057,0,100.439,0.151
21.057,0,100.439,0.151
21.157,0,100.428,0.152
21.157,0,100.428,0.152
21.258,0,100.422,0.153
21.258,0,100.422,0.153
21.358,0,100.411,0.154
21.358,0,100.411,0.154
21.458,0,100.406,0.156
21.458,0,100.406,0.156
21.559,0,100.394,0.157
21.559,0,100.394,0.157
21.659,0,100.389,0.158
21.659,0,100.389,0.158
21.759,0,100.378,0.159
21.759,0,100.378,0.159
21.859,0,100.361,0.16
21.859,0,100.361,0.16
21.959,0,100.344,0.16
21.959,0,100.344,0.16
22.06,0,100.328,0.161
22.06,0,100.328,0.161
22.16,0,100.317,0.162
22.16,0,100.317,0.162
22.26,0,100.306,0.163
22.26,0,100.306,0.163
22.36,0,100.3,0.164
22.36,0,100.3,0.164
22.461,0,100.3,0.166
22.461,0,100.3,0.166
22.561,0,100.294,0.167
22.561,0,100.294,0.167
22.661,0,100.289,0.168
22.661,0,100.289,0.168
22.761,0,100.283,0.169
22.761,0,100.283,0.169
22.862,0,100.278,0.17
22.862,0,100.278,0.17
22.962,0,100.272,0.17
22.962,0,100.272,0.17
23.062,0,100.272,0.171
23.062,0,100.272,0.171
23.162,0,100.272,0.172
23.162,0,100.272,0.172
23.262,0,100.256,0.173
23.262,0,100.256,0.173
23.363,0,100.25,0.174
23.363,0,100.25,0.174
23.463,0,100.239,0.176
23.463,0,100.239,0.176
23.563,0,100.228,0.177
23.563,0,100.228,0.177
23.663,0,100.222,0.178
23.663,0,100.222,0.178
23.763,0,100.211,0.179
23.763,0,100.211,0.179
23.763,0,100.211,0.18
23.763,0,100.211,0.18
23.863,0,100.211,0.18
23.863,0,100.211,0.18
23.963,0,100.206,0.181
23.963,0,100.206,0.181
24.064,0,100.206,0.182
24.064,0,100.206,0.182
24.164,0,100.206,0.183
24.164,0,100.206,0.183
24.264,0,100.2,0.184
24.264,0,100.2,0.184
24.364,0,100.2,0.185
24.364,0,100.2,0.185
24.464,0,100.194,0.186
24.464,0,100.194,0.186
24.565,0,100.194,0.187
24.565,0,100.194,0.187
24.665,0,100.189,0.188
24.665,0,100.189,0.188
24.765,0,100.189,0.189
24.765,0,100.189,0.189
24.865,0,100.2,0.19
24.865,0,100.2,0.19
24.965,0,100.206,0.19
24.965,0,100.206,0.19
25.066,0,100.206,0.191
25.066,0,100.206,0.191
25.166,0,100.211,0.192
25.166,0,100.211,0.192
25.266,0,100.211,0.193
25.266,0,100.211,0.193
25.366,0,100.211,0.194
25.366,0,100.211,0.194
25.466,0,100.211,0.196
25.466,0,100.211,0.196
25.567,0,100.211,0.197
25.567,0,100.211,0.197
25.667,0,100.211,0.198
25.667,0,100.211,0.198
25.767,0,100.211,0.199
25.767,0,100.211,0.199
25.867,0,100.211,0.2
25.867,0,100.211,0.2
25.967,0,100.206,0.2
25.967,0,100.206,0.2
26.068,0,100.2,0.201
26.068,0,100.2,0.201
