Position(mm),Force(kgf),Velocity(mm/s),Time(s)
17.942,0,99.961,0.12
17.942,0,0,0
18.043,0,100.006,0.12
18.043,0,100.006,0.12
18.143,0,100.05,0.121
18.143,0,100.05,0.121
18.244,0,100.089,0.122
18.244,0,100.089,0.122
18.344,0,100.128,0.124
18.344,0,100.128,0.124
18.445,0,100.167,0.125
18.445,0,100.167,0.125
18.545,0,100.194,0.126
18.545,0,100.194,0.126
18.646,0,100.228,0.128
18.646,0,100.228,0.128
18.746,0,100.25,0.129
18.746,0,100.25,0.129
18.847,0,100.278,0.13
18.847,0,100.278,0.13
18.947,0,100.294,0.13
18.947,0,100.294,0.13
19.048,0,100.317,0.131
19.048,0,100.317,0.131
19.148,0,100.333,0.132
19.148,0,100.333,0.132
19.249,0,100.35,0.133
19.249,0,100.35,0.133
19.349,0,100.361,0.134
19.349,0,100.361,0.134
19.45,0,100.372,0.136
19.45,0,100.372,0.136
19.55,0,100.383,0.137
19.55,0,100.383,0.137
19.651,0,100.389,0.138
19.651,0,100.389,0.138
19.751,0,100.394,0.139
19.751,0,100.394,0.139
19.852,0,100.4,0.14
19.852,0,100.4,0.14
19.952,0,100.406,0.14
19.952,0,100.406,0.14
20.053,0,100.411,0.141
20.053,0,100.411,0.141
20.153,0,100.417,0.142
20.153,0,100.417,0.142
20.253,0,100.417,0.143
20.253,0,100.417,0.143
20.354,0,100.417,0.144
20.354,0,100.417,0.144
20.454,0,100.417,0.146
20.454,0,100.417,0.146
20.555,0,100.422,0.147
20.555,0,100.422,0.147
20.655,0,100.422,0.148
20.655,0,100.422,0.148
20.756,0,100.422,0.149
20.756,0,100.422,0.149
20.856,0,100.422,0.15
20.856,0,100.422,0.15
20.956,0,100.422,0.15
20.956,0,100.422,0.15
21.057,0,100.417,0.151
21.057,0,100.417,0.151
21.157,0,100.411,0.152
21.157,0,100.411,0.152
21.257,0,100.406,0.153
21.257,0,100.406,0.153
21.358,0,100.394,0.154
21.358,0,100.394,0.154
21.458,0,100.389,0.156
21.458,0,100.389,0.156
21.558,0,100.378,0.157
21.558,0,100.378,0.157
21.659,0,100.372,0.158
21.659,0,100.372,0.158
21.759,0,100.356,0.159
21.759,0,100.356,0.159
21.859,0,100.344,0.16
21.859,0,100.344,0.16
21.959,0,100.333,0.16
21.959,0,100.333,0.16
22.059,0,100.317,0.161
22.059,0,100.317,0.161
22.16,0,100.317,0.162
22.16,0,100.317,0.162
22.26,0,100.294,0.163
22.26,0,100.294,0.163
22.36,0,100.289,0.164
22.36,0,100.289,0.164
22.46,0,100.283,0.166
22.46,0,100.283,0.166
22.56,0,100.278,0.167
22.56,0,100.278,0.167
22.661,0,100.272,0.168
22.661,0,100.272,0.168
22.761,0,100.267,0.169
22.761,0,100.267,0.169
22.861,0,100.267,0.17
22.861,0,100.267,0.17
22.961,0,100.261,0.17
22.961,0,100.261,0.17
23.062,0,100.261,0.171
23.062,0,100.261,0.171
23.162,0,100.256,0.172
23.162,0,100.256,0.172
23.262,0,100.244,0.173
23.262,0,100.244,0.173
23.362,0,100.233,0.174
23.362,0,100.233,0.174
23.462,0,100.228,0.176
23.462,0,100.228,0.176
23.562,0,100.217,0.177
23.562,0,100.217,0.177
23.662,0,100.211,0.178
23.662,0,100.211,0.178
23.763,0,100.206,0.179
23.763,0,100.206,0.179
23.863,0,100.2,0.18
23.863,0,100.2,0.18
23.963,0,100.2,0.18
23.963,0,100.2,0.18
24.063,0,100.194,0.181
24.063,0,100.194,0.181
24.163,0,100.194,0.182
24.163,0,100.194,0.182
24.263,0,100.194,0.183
24.263,0,100.194,0.183
24.364,0,100.189,0.184
24.364,0,100.189,0.184
24.464,0,100.194,0.186
24.464,0,100.194,0.186
24.564,0,100.189,0.187
24.564,0,100.189,0.187
24.664,0,100.189,0.188
24.664,0,100.189,0.188
24.764,0,100.189,0.189
24.764,0,100.189,0.189
24.865,0,100.194,0.19
24.865,0,100.194,0.19
24.965,0,100.2,0.19
24.965,0,100.2,0.19
25.065,0,100.206,0.191
25.065,0,100.206,0.191
25.165,0,100.211,0.192
25.165,0,100.211,0.192
25.266,0,100.211,0.193
25.266,0,100.211,0.193
25.366,0,100.217,0.194
25.366,0,100.217,0.194
25.466,0,100.211,0.196
25.466,0,100.211,0.196
25.566,0,100.211,0.197
25.566,0,100.211,0.197
25.666,0,100.211,0.198
25.666,0,100.211,0.198
25.767,0,100.211,0.199
25.767,0,100.211,0.199
25.867,0,100.211,0.2
25.867,0,100.211,0.2
25.967,0,100.211,0.2
25.967,0,100.211,0.2
26.067,0,100.206,0.201
26.067,0,100.206,0.201
26.167,0,100.2,0.202
26.167,0,100.2,0.202
26.267,0,100.194,0.203
26.267,0,100.194,0.203
26.368,0,100.189,0.204
26.368,0,100.189,0.204
26.468,0,100.183,0.206
26.468,0,100.183,0.206
26.568,0,100.167,0.207
26.568,0,100.167,0.207
26.668,0,100.161,0.208
26.668,0,100.161,0.208
26.768,0,100.15,0.209
26.768,0,100.15,0.209
26.868,0,100.139,0.21
26.868,0,100.139,0.21
26.968,0,100.128,0.21
26.968,0,100.128,0.21
27.068,0,100.122,0.211
27.068,0,100.122,0.211
27.168,0,100.111,0.212
27.168,0,100.111,0.212
27.268,0,100.1,0.213
27.268,0,100.1,0.213
27.368,0,100.094,0.214
27.368,0,100.094,0.214
27.468,0,100.094,0.216
27.468,0,100.094,0.216
27.568,0,100.094,0.217
27.568,0,100.094,0.217
