Position(mm),Force(kgf),Velocity(mm/s),Time(s)
17.036,0,99.406,0.11
17.036,0,0,0
17.136,0,99.5,0.11
17.136,0,99.5,0.11
17.237,0,99.589,0.111
17.237,0,99.589,0.111
17.337,0,99.672,0.113
17.337,0,99.672,0.113
17.438,0,99.75,0.114
17.438,0,99.75,0.114
17.538,0,99.817,0.116
17.538,0,99.817,0.116
17.639,0,99.878,0.117
17.639,0,99.878,0.117
17.739,0,99.933,0.119
17.739,0,99.933,0.119
17.84,0,99.983,0.12
17.84,0,99.983,0.12
17.94,0,100.033,0.12
17.94,0,100.033,0.12
18.041,0,100.083,0.121
18.041,0,100.083,0.121
18.142,0,100.128,0.122
18.142,0,100.128,0.122
18.142,0,100.128,0.123
18.142,0,100.128,0.123
18.242,0,100.167,0.124
18.242,0,100.167,0.124
18.343,0,100.2,0.125
18.343,0,100.2,0.125
18.443,0,100.228,0.126
18.443,0,100.228,0.126
18.544,0,100.256,0.127
18.544,0,100.256,0.127
18.644,0,100.278,0.128
18.644,0,100.278,0.128
18.745,0,100.306,0.129
18.745,0,100.306,0.129
18.845,0,100.328,0.13
18.845,0,100.328,0.13
18.946,0,100.35,0.13
18.946,0,100.35,0.13
19.047,0,100.372,0.131
19.047,0,100.372,0.131
19.147,0,100.389,0.132
19.147,0,100.389,0.132
19.248,0,100.4,0.133
19.248,0,100.4,0.133
19.348,0,100.406,0.134
19.348,0,100.406,0.134
19.449,0,100.406,0.135
19.449,0,100.406,0.135
19.549,0,100.422,0.136
19.549,0,100.422,0.136
19.65,0,100.428,0.137
19.65,0,100.428,0.137
19.65,0,100.428,0.138
19.65,0,100.428,0.138
19.75,0,100.433,0.139
19.75,0,100.433,0.139
19.851,0,100.444,0.14
19.851,0,100.444,0.14
19.951,0,100.444,0.14
19.951,0,100.444,0.14
20.052,0,100.45,0.141
20.052,0,100.45,0.141
20.152,0,100.45,0.142
20.152,0,100.45,0.142
20.252,0,100.45,0.143
20.252,0,100.45,0.143
20.353,0,100.45,0.144
20.353,0,100.45,0.144
20.453,0,100.45,0.146
20.453,0,100.45,0.146
20.554,0,100.45,0.147
20.554,0,100.45,0.147
20.654,0,100.45,0.148
20.654,0,100.45,0.148
20.755,0,100.45,0.149
20.755,0,100.45,0.149
20.855,0,100.45,0.15
20.855,0,100.45,0.15
20.956,0,100.45,0.15
20.956,0,100.45,0.15
21.056,0,100.439,0.151
21.056,0,100.439,0.151
21.156,0,100.433,0.152
21.156,0,100.433,0.152
21.257,0,100.422,0.153
21.257,0,100.422,0.153
21.257,0,100.422,0.154
21.257,0,100.422,0.154
21.357,0,100.417,0.155
21.357,0,100.417,0.155
21.457,0,100.411,0.156
21.457,0,100.411,0.156
21.558,0,100.406,0.157
21.558,0,100.406,0.157
21.658,0,100.394,0.158
21.658,0,100.394,0.158
21.758,0,100.383,0.159
21.758,0,100.383,0.159
21.858,0,100.378,0.16
21.858,0,100.378,0.16
21.959,0,100.367,0.16
21.959,0,100.367,0.16
22.059,0,100.356,0.161
22.059,0,100.356,0.161
22.159,0,100.344,0.162
22.159,0,100.344,0.162
22.26,0,100.339,0.163
22.26,0,100.339,0.163
22.36,0,100.333,0.164
22.36,0,100.333,0.164
22.46,0,100.333,0.166
22.46,0,100.333,0.166
22.56,0,100.328,0.167
22.56,0,100.328,0.167
22.661,0,100.322,0.168
22.661,0,100.322,0.168
22.761,0,100.317,0.169
22.761,0,100.317,0.169
22.861,0,100.311,0.17
22.861,0,100.311,0.17
22.961,0,100.306,0.17
22.961,0,100.306,0.17
23.062,0,100.306,0.171
23.062,0,100.306,0.171
23.162,0,100.294,0.172
23.162,0,100.294,0.172
23.262,0,100.278,0.173
23.262,0,100.278,0.173
23.362,0,100.267,0.174
23.362,0,100.267,0.174
23.462,0,100.25,0.176
23.462,0,100.25,0.176
23.562,0,100.239,0.177
23.562,0,100.239,0.177
23.662,0,100.222,0.178
23.662,0,100.222,0.178
23.763,0,100.217,0.179
23.763,0,100.217,0.179
23.863,0,100.211,0.18
23.863,0,100.211,0.18
23.963,0,100.206,0.18
23.963,0,100.206,0.18
24.063,0,100.2,0.181
24.063,0,100.2,0.181
24.163,0,100.2,0.182
24.163,0,100.2,0.182
24.163,0,100.2,0.183
24.163,0,100.2,0.183
24.263,0,100.194,0.184
24.263,0,100.194,0.184
24.363,0,100.189,0.185
24.363,0,100.189,0.185
24.464,0,100.189,0.186
24.464,0,100.189,0.186
24.564,0,100.189,0.187
24.564,0,100.189,0.187
24.664,0,100.189,0.188
24.664,0,100.189,0.188
24.764,0,100.189,0.189
24.764,0,100.189,0.189
24.865,0,100.194,0.19
24.865,0,100.194,0.19
24.965,0,100.2,0.19
24.965,0,100.2,0.19
25.065,0,100.206,0.191
25.065,0,100.206,0.191
25.165,0,100.206,0.192
25.165,0,100.206,0.192
25.265,0,100.211,0.193
25.265,0,100.211,0.193
25.366,0,100.211,0.194
25.366,0,100.211,0.194
25.466,0,100.206,0.195
25.466,0,100.206,0.195
25.566,0,100.206,0.196
25.566,0,100.206,0.196
25.566,0,100.206,0.197
25.566,0,100.206,0.197
25.666,0,100.206,0.198
25.666,0,100.206,0.198
25.767,0,100.211,0.199
25.767,0,100.211,0.199
25.867,0,100.211,0.2
25.867,0,100.211,0.2
25.967,0,100.206,0.2
25.967,0,100.206,0.2
26.067,0,100.2,0.201
