95912
2024/05/02
AM-ESP001(kgf)
條碼,E240502
良品數,16
不良品數,0
生產總數,16

步序,壓合模式,判定值,中間值,最大值,最小值,平均值,標準差,Cpk
1,位置模式,壓力(kgf),250,500,0,0,0,非數值

編號,時間 ,配方名稱,量測結果,預備位置(mm),預備時間(s),成型位置(mm),壓力(kgf),成型時間(s),生產時間(s)
1,上午 10:00:15,TEST,OK,20,0,29.999,0,0,2.43,E240502_95912_1.csv
